year,pollutant,station_id,station_name,month,valid_days,who_exceedance_days,conama_exceedance_days,max_hourly_value,max_hourly_at,coverage_percent,data_quality_tier,validation_note
2022,PM10,70,VR - Retiro,2022-08,31,8,4,191.17,2022-08-29T10:00:00,99.73,HIGH,Cobertura técnica de 99.7% com 31 dias válidos analiticamente.
2022,PM10,70,VR - Retiro,2022-09,30,6,6,252.05,2022-09-20T17:00:00,99.03,HIGH,Cobertura técnica de 99.0% com 30 dias válidos analiticamente.
2022,PM10,70,VR - Retiro,2022-10,30,5,4,225.04,2022-10-13T17:00:00,97.58,HIGH,Cobertura técnica de 97.6% com 30 dias válidos analiticamente.
2022,PM10,70,VR - Retiro,2022-11,29,2,0,163.18,2022-11-19T17:00:00,97.92,HIGH,Cobertura técnica de 97.9% com 29 dias válidos analiticamente.
2022,PM10,70,VR - Retiro,2022-12,29,4,3,209.56,2022-12-10T18:00:00,93.82,HIGH,Cobertura técnica de 93.8% com 29 dias válidos analiticamente.
2022,PM2.5,70,VR - Retiro,2022-01,30,0,0,39.99,2022-01-01T01:00:00,98.25,HIGH,Cobertura técnica de 98.3% com 30 dias válidos analiticamente.
2022,PM2.5,70,VR - Retiro,2022-02,28,0,0,35.88,2022-02-24T10:00:00,99.11,HIGH,Cobertura técnica de 99.1% com 28 dias válidos analiticamente.
2022,PM2.5,70,VR - Retiro,2022-03,31,0,0,90.67,2022-03-07T23:00:00,98.92,HIGH,Cobertura técnica de 98.9% com 31 dias válidos analiticamente.
2022,PM2.5,70,VR - Retiro,2022-04,30,3,0,75.87,2022-04-20T11:00:00,100.00,HIGH,Cobertura técnica de 100.0% com 30 dias válidos analiticamente.
2022,PM2.5,70,VR - Retiro,2022-05,31,4,0,54.62,2022-05-30T10:00:00,100.00,HIGH,Cobertura técnica de 100.0% com 31 dias válidos analiticamente.
2022,PM2.5,70,VR - Retiro,2022-06,30,5,0,50.74,2022-06-07T14:00:00,99.31,HIGH,Cobertura técnica de 99.3% com 30 dias válidos analiticamente.
2022,PM2.5,70,VR - Retiro,2022-07,30,12,0,97.50,2022-07-29T09:00:00,97.72,HIGH,Cobertura técnica de 97.7% com 30 dias válidos analiticamente.
2022,PM2.5,70,VR - Retiro,2022-08,31,9,0,57.11,2022-08-02T16:00:00,99.87,HIGH,Cobertura técnica de 99.9% com 31 dias válidos analiticamente.
2022,PM2.5,70,VR - Retiro,2022-09,30,5,1,78.41,2022-09-03T07:00:00,99.72,HIGH,Cobertura técnica de 99.7% com 30 dias válidos analiticamente.
2022,PM2.5,70,VR - Retiro,2022-10,30,2,0,56.67,2022-10-10T15:00:00,97.72,HIGH,Cobertura técnica de 97.7% com 30 dias válidos analiticamente.
2022,PM2.5,70,VR - Retiro,2022-11,30,1,1,76.20,2022-11-11T11:00:00,100.00,HIGH,Cobertura técnica de 100.0% com 30 dias válidos analiticamente.
2022,PM2.5,70,VR - Retiro,2022-12,29,0,0,41.29,2022-12-10T18:00:00,97.31,HIGH,Cobertura técnica de 97.3% com 29 dias válidos analiticamente.
2022,PM10,71,VR - Santa Cecília,2022-01,21,0,0,78.68,2022-01-21T09:00:00,73.25,MEDIUM,Cobertura técnica de 73.3% com 21 dias válidos analiticamente.
2022,PM10,71,VR - Santa Cecília,2022-02,25,0,0,80.56,2022-02-22T16:00:00,87.65,HIGH,Cobertura técnica de 87.6% com 25 dias válidos analiticamente.
2022,PM10,71,VR - Santa Cecília,2022-03,31,0,0,75.37,2022-03-04T08:00:00,97.72,HIGH,Cobertura técnica de 97.7% com 31 dias válidos analiticamente.
2022,PM10,71,VR - Santa Cecília,2022-04,30,0,0,106.28,2022-04-23T12:00:00,95.69,HIGH,Cobertura técnica de 95.7% com 30 dias válidos analiticamente.
2022,PM10,71,VR - Santa Cecília,2022-05,31,0,0,120.84,2022-05-28T10:00:00,99.06,HIGH,Cobertura técnica de 99.1% com 31 dias válidos analiticamente.
