station_id,station_name,coverage_percent,hourly_records,annual_mean_available_hourly,hourly_peak,zero_values,valid_days,who_24h_exceedance_days,conama506_24h_exceedance_days,confidence_level,source_system,data_quality_tier,validation_note,coverage_status
69,VR-Belmonte,92.90,8160,15.74,188.00,276,0,4,1,MEDIUM,WEBLAKES_CONCENTRATION_WITH_WIND,RAW_PUBLIC_PLATFORM,Sem QA/QC oficial explícito; comparação experimental.,SUFFICIENT
70,VR-Retiro,77.90,6843,28.09,303.00,117,0,22,14,MEDIUM,WEBLAKES_CONCENTRATION_WITH_WIND,RAW_PUBLIC_PLATFORM,Sem QA/QC oficial explícito; comparação experimental.,SUFFICIENT
71,VR-Santa Cecília,79.00,6939,19.81,258.78,175,0,3,1,MEDIUM,WEBLAKES_CONCENTRATION_WITH_WIND,RAW_PUBLIC_PLATFORM,Sem QA/QC oficial explícito; comparação experimental.,SUFFICIENT
