station_id,station_name,coverage_percent,hourly_records,annual_mean_available_hourly,hourly_peak,zero_values,valid_days,who_24h_exceedance_days,conama506_24h_exceedance_days,confidence_level,source_system,data_quality_tier,validation_note,coverage_status
69,VR-Belmonte,93.10,3374,7.86,66.38,1,0,8,0,LOW,WEBLAKES_CONCENTRATION_WITH_WIND,RAW_PUBLIC_PLATFORM,Ano parcial/em andamento (Jan a Mai). Sem QA/QC oficial; experimental.,SUFFICIENT
70,VR-Retiro,81.82,2965,6.43,44.07,4,0,1,0,LOW,WEBLAKES_CONCENTRATION_WITH_WIND,RAW_PUBLIC_PLATFORM,Ano parcial/em andamento (Jan a Mai). Sem QA/QC oficial; experimental.,SUFFICIENT
71,VR-Santa Cecília,84.82,3074,6.24,54.80,1,0,1,0,LOW,WEBLAKES_CONCENTRATION_WITH_WIND,RAW_PUBLIC_PLATFORM,Ano parcial/em andamento (Jan a Mai). Sem QA/QC oficial; experimental.,SUFFICIENT
