station_id,station_name,coverage_percent,hourly_records,annual_mean_available_hourly,hourly_peak,zero_values,valid_days,who_24h_exceedance_days,conama506_24h_exceedance_days,confidence_level,source_system,data_quality_tier,validation_note,coverage_status
69,VR-Belmonte,93.93,3404,21.41,112.58,0,0,2,0,LOW,WEBLAKES_CONCENTRATION_WITH_WIND,RAW_PUBLIC_PLATFORM,Ano parcial/em andamento (Jan a Mai). Sem QA/QC oficial; experimental.,SUFFICIENT
70,VR-Retiro,85.90,3113,19.23,126.60,3,0,0,0,LOW,WEBLAKES_CONCENTRATION_WITH_WIND,RAW_PUBLIC_PLATFORM,Ano parcial/em andamento (Jan a Mai). Sem QA/QC oficial; experimental.,SUFFICIENT
71,VR-Santa Cecília,88.66,3213,11.44,68.23,0,0,0,0,LOW,WEBLAKES_CONCENTRATION_WITH_WIND,RAW_PUBLIC_PLATFORM,Ano parcial/em andamento (Jan a Mai). Sem QA/QC oficial; experimental.,SUFFICIENT
