station_id,station_name,coverage_percent,hourly_records,annual_mean_available_hourly,hourly_peak,zero_values,valid_days,who_24h_exceedance_days,conama506_24h_exceedance_days,confidence_level,source_system,data_quality_tier,validation_note
69,VR-Belmonte,94.45,8274,27.29,187.78,19,0,7,3,MEDIUM,WEBLAKES_CONCENTRATION_WITH_WIND,RAW_PUBLIC_PLATFORM,Sem QA/QC oficial explícito; comparação experimental.
70,VR-Retiro,93.81,8218,22.13,175.33,19,0,3,2,MEDIUM,WEBLAKES_CONCENTRATION_WITH_WIND,RAW_PUBLIC_PLATFORM,Sem QA/QC oficial explícito; comparação experimental.
71,VR-Santa Cecília,95.41,8358,13.82,194.40,159,0,2,0,MEDIUM,WEBLAKES_CONCENTRATION_WITH_WIND,RAW_PUBLIC_PLATFORM,Sem QA/QC oficial explícito; comparação experimental.
