year,station_id,station_name,pollutant,annual_mean,max_hourly_peak,coverage_percent,exceedance_days_who,exceedance_days_conama,coverage_status
2013,69,VR - Belmonte,CO,0.47,7.50,94.89,0,0,SUFFICIENT
2013,70,VR - Retiro,CO,0.44,8.17,91.12,0,0,SUFFICIENT
2013,71,VR - Santa Cecília,CO,0.31,7.46,92.20,0,0,SUFFICIENT
2014,69,VR - Belmonte,CO,0.42,6.05,94.85,0,0,SUFFICIENT
2014,70,VR - Retiro,CO,0.47,12.01,93.97,0,0,SUFFICIENT
2014,71,VR - Santa Cecília,CO,0.30,4.09,95.91,0,0,SUFFICIENT
2015,69,VR - Belmonte,CO,0.49,4.78,96.87,0,0,SUFFICIENT
2015,70,VR - Retiro,CO,0.40,8.19,98.32,0,0,SUFFICIENT
2015,71,VR - Santa Cecília,CO,0.26,5.42,95.22,0,0,SUFFICIENT
2016,69,VR - Belmonte,CO,0.41,8.49,96.29,0,0,SUFFICIENT
2016,70,VR - Retiro,CO,0.38,7.41,89.80,0,0,SUFFICIENT
2016,71,VR - Santa Cecília,CO,0.31,7.44,92.78,0,0,SUFFICIENT
2017,69,VR - Belmonte,CO,0.49,9.56,98.98,0,0,SUFFICIENT
2017,70,VR - Retiro,CO,0.40,9.46,94.78,0,0,SUFFICIENT
2017,71,VR - Santa Cecília,CO,0.41,6.26,98.72,0,0,SUFFICIENT
2018,69,VR - Belmonte,CO,0.43,14.78,97.85,0,0,SUFFICIENT
2018,70,VR - Retiro,CO,0.36,10.84,95.79,0,0,SUFFICIENT
2018,71,VR - Santa Cecília,CO,0.33,5.51,96.99,0,0,SUFFICIENT
2019,69,VR - Belmonte,CO,0.32,13.44,32.89,0,0,INSUFFICIENT_ANNUAL_COVERAGE
2019,70,VR - Retiro,CO,0.39,7.15,67.08,0,0,INSUFFICIENT_ANNUAL_COVERAGE
2019,71,VR - Santa Cecília,CO,0.32,6.19,92.50,0,0,SUFFICIENT
2024,70,VR - Retiro,CO,1.01,1.93,99.57,0,0,SUFFICIENT
